Classe;Rang DEA;Désignation;UPW;Score DEA;Statut DEA
CE;1;Agency_374;UPW_019;1,0;Efficiente
CE;2;Agency_079;UPW_003;1,0;Efficiente
CE;3;Agency_935;UPW_055;1,0;Efficiente
CE;4;Agency_686;UPW_035;1,0;Efficiente
CE;5;Agency_603;UPW_005;1,0;Efficiente
CE;6;Agency_277;UPW_015;0,901;Non efficiente
CE;7;Agency_328;UPW_017;0,88;Non efficiente
CE;8;Agency_785;UPW_041;0,848;Non efficiente
CE;9;Agency_650;UPW_033;0,818;Non efficiente
CE;10;Agency_491;UPW_025;0,799;Non efficiente
CE;11;Agency_284;UPW_016;0,753;Non efficiente
CE;12;Agency_176;UPW_010;0,737;Non efficiente
CE;13;Agency_018;UPW_006;0,722;Non efficiente
CE;14;Agency_157;UPW_008;0,72;Non efficiente
CE;15;Agency_859;UPW_045;0,685;Non efficiente
CE;16;Agency_419;UPW_005;0,68;Non efficiente
CE;17;Agency_552;UPW_005;0,679;Non efficiente
CE;18;Agency_239;UPW_013;0,652;Non efficiente
CE;19;Agency_591;UPW_002;0,651;Non efficiente
CE;20;Agency_764;UPW_040;0,645;Non efficiente
CE;21;Agency_816;UPW_043;0,643;Non efficiente
CE;22;Agency_717;UPW_038;0,629;Non efficiente
CE;23;Agency_870;UPW_046;0,625;Non efficiente
CE;24;Agency_788;UPW_005;0,623;Non efficiente
CE;25;Agency_012;UPW_001;0,606;Non efficiente
CE;26;Agency_244;UPW_014;0,584;Non efficiente
CE;27;Agency_502;UPW_052;0,565;Non efficiente
CE;28;Agency_288;UPW_036;0,557;Non efficiente
CE;29;Agency_725;UPW_039;0,553;Non efficiente
CE;30;Agency_934;UPW_054;0,551;Non efficiente
CE;31;Agency_035;UPW_002;0,55;Non efficiente
CE;32;Agency_906;UPW_048;0,539;Non efficiente
CE;33;Agency_119;UPW_007;0,537;Non efficiente
CE;34;Agency_461;UPW_023;0,533;Non efficiente
CE;35;Agency_167;UPW_009;0,532;Non efficiente
CE;36;Agency_695;UPW_036;0,527;Non efficiente
CE;37;Agency_412;UPW_043;0,527;Non efficiente
CE;38;Agency_356;UPW_018;0,525;Non efficiente
CE;39;Agency_851;UPW_032;0,523;Non efficiente
CE;40;Agency_573;UPW_029;0,519;Non efficiente
CE;41;Agency_405;UPW_004;0,508;Non efficiente
CE;42;Agency_543;UPW_004;0,502;Non efficiente
CE;43;Agency_237;UPW_012;0,486;Non efficiente
CE;44;Agency_455;UPW_022;0,45;Non efficiente
CE;45;Agency_182;UPW_006;0,45;Non efficiente
CE;46;Agency_639;UPW_032;0,432;Non efficiente
CE;47;Agency_918;UPW_049;0,426;Non efficiente
CE;48;Agency_893;UPW_047;0,42;Non efficiente
CE;49;Agency_834;UPW_044;0,404;Non efficiente
CE;50;Agency_093;UPW_004;0,292;Non efficiente
CE;51;Agency_091;UPW_004;0,15;Non efficiente
HC;1;Agency_273;UPW_034;1,0;Efficiente
HC;2;Agency_420;UPW_045;1,0;Efficiente
HC;3;Agency_262;UPW_013;1,0;Efficiente
HC;4;Agency_232;UPW_004;1,0;Efficiente
HC;5;Agency_538;UPW_039;1,0;Efficiente
HC;6;Agency_780;UPW_005;1,0;Efficiente
HC;7;Agency_696;UPW_032;1,0;Efficiente
HC;8;Agency_750;UPW_033;0,986;Non efficiente
HC;9;Agency_714;UPW_038;0,977;Non efficiente
HC;10;Agency_673;UPW_002;0,975;Non efficiente
HC;11;Agency_382;UPW_054;0,959;Non efficiente
HC;12;Agency_388;UPW_005;0,945;Non efficiente
HC;13;Agency_114;UPW_007;0,895;Non efficiente
