Classe;Rang PROMETHEE II;Désignation;UPW;Flux positif;Flux négatif;Flux net
CE;1;BOUIRA 09;BOUIRA;0,62;0,064;0,556
CE;2;DJELFA 11;DJELFA;0,59;0,119;0,471
CE;3;RELIZANE 17;RELIZANE;0,511;0,135;0,376
CE;4;BEJAIA 11;BEJAIA;0,507;0,157;0,349
CE;5;AIN TEMOUCHENT 01;AIN TEMOUCHENT;0,499;0,169;0,329
CE;6;ADRAR 02;ADRAR;0,453;0,135;0,318
CE;7;TLEMCEN 18;TLEMCEN;0,515;0,2;0,316
CE;8;ALGER OUEST 01;ALGER OUEST;0,533;0,248;0,285
CE;9;GUELMA 07;GUELMA;0,455;0,173;0,282
CE;10;MOSTAGANEM 21;MOSTAGANEM;0,493;0,215;0,278
CE;11;MEDEA 12;MEDEA;0,471;0,197;0,274
CE;12;SKIKDA 28;SKIKDA;0,414;0,211;0,203
CE;13;ALGER EST 26;ALGER EST;0,381;0,221;0,16
CE;14;ALGER CENTRE 26;ALGER CENTRE;0,394;0,237;0,157
CE;15;ALGER EST 32;ALGER EST;0,457;0,328;0,129
CE;16;BLIDA 08;BLIDA;0,384;0,258;0,126
CE;17;ALGER EST 30;ALGER EST;0,396;0,301;0,095
CE;18;OUM EL BOUAGHI 16;OUM EL BOUAGHI;0,337;0,259;0,078
CE;19;BATNA 12;BATNA;0,325;0,25;0,076
CE;20;BOUMERDES 07;BOUMERDES;0,37;0,315;0,055
CE;21;BORDJ BOUARRERIDJ 09;BORDJ BOUARRERIDJ;0,289;0,251;0,038
CE;22;MSILA 06;MSILA;0,324;0,286;0,038
CE;23;JIJEL 13;JIJEL;0,299;0,283;0,016
CE;24;AIN DEFLA 11;AIN DEFLA;0,312;0,3;0,013
CE;25;MSILA 13;MSILA;0,291;0,279;0,012
CE;26;SOUK AHRAS 14;SOUK AHRAS;0,317;0,318;-0,001
CE;27;CHLEF 15;CHLEF;0,337;0,352;-0,015
CE;28;EL TARF 14;EL TARF;0,274;0,292;-0,018
CE;29;SETIF 32;SETIF;0,308;0,351;-0,043
CE;30;ALGER EST 42;ALGER EST;0,333;0,378;-0,045
CE;31;TIPAZA 11;TIPAZA;0,272;0,334;-0,062
CE;32;SETIF 23;SETIF;0,281;0,349;-0,069
CE;33;TIZI OUZOU 18;TIZI OUZOU;0,263;0,358;-0,095
CE;34;TEBESSA 27;TEBESSA;0,23;0,347;-0,116
CE;35;MASCARA 18;MASCARA;0,231;0,381;-0,149
CE;36;ALGER CENTRE 05;ALGER CENTRE;0,255;0,409;-0,154
CE;37;AIN DEFLA 02;AIN DEFLA;0,21;0,378;-0,168
CE;38;ANNABA 08;ANNABA;0,231;0,402;-0,171
CE;39;BECHAR 05;BECHAR;0,229;0,4;-0,171
CE;40;EL OUED 06;EL OUED;0,213;0,41;-0,197
CE;41;TIARET 25;TIARET;0,209;0,415;-0,206
CE;42;CONSTANTINE 20;CONSTANTINE;0,197;0,426;-0,229
CE;43;ALGER CENTRE 23;ALGER CENTRE;0,21;0,476;-0,266
CE;44;BISKRA 06;BISKRA;0,177;0,461;-0,284
CE;45;SIDI BEL ABBES 11;SIDI BEL ABBES;0,175;0,459;-0,284
CE;46;OUARGLA 10;OUARGLA;0,194;0,48;-0,286
CE;47;ALGER OUEST 05;ALGER OUEST;0,195;0,481;-0,286
CE;48;ORAN 39;ORAN;0,172;0,463;-0,291
CE;49;TAMANRASSET 05;TAMANRASSET;0,199;0,524;-0,325
CE;50;MASCARA 12;MASCARA;0,113;0,569;-0,456
CE;51;ALGER CENTRE 03;ALGER CENTRE;0,114;0,756;-0,642
HC;1;MILA 01;MILA;0,543;0,119;0,425
HC;2;SKIKDA 11;SKIKDA;0,465;0,101;0,364
HC;3;BLIDA 09;BLIDA;0,484;0,131;0,353
HC;4;ALGER EST 25;ALGER EST;0,517;0,18;0,337
HC;5;AIN DEFLA 14;AIN DEFLA;0,464;0,152;0,312
HC;6;ALGER CENTRE 19;ALGER CENTRE;0,444;0,147;0,297
HC;7;OUARGLA 04;OUARGLA;0,443;0,171;0,272
HC;8;LAGHOUAT 18;LAGHOUAT;0,379;0,146;0,233
HC;9;EL MEGHAIER 01;EL MEGHAIER;0,378;0,159;0,219
HC;10;ALGER EST 39;ALGER EST;0,46;0,248;0,211
