Classe;Désignation;UPW;Score DEA;Rang DEA;Flux net PROMETHEE II;Rang PROMETHEE II;Écart de rang;Profil
CE;Agency_328;UPW_017;0,88;7;-0,015;27;20;Efficientes mais faibles sur le plan multicritère
CE;Agency_816;UPW_043;0,643;21;-0,043;29;8;Efficientes mais faibles sur le plan multicritère
CE;Agency_717;UPW_038;0,629;22;-0,291;48;26;Efficientes mais faibles sur le plan multicritère
CE;Agency_788;UPW_005;0,623;24;-0,045;30;6;Efficientes mais faibles sur le plan multicritère
CE;Agency_288;UPW_036;0,557;28;0,038;22;6;Faibles en DEA mais mieux classées en PROMETHEE II
CE;Agency_695;UPW_036;0,527;36;0,012;25;11;Faibles en DEA mais mieux classées en PROMETHEE II
CE;Agency_573;UPW_029;0,519;40;0,016;23;17;Faibles en DEA mais mieux classées en PROMETHEE II
CE;Agency_543;UPW_004;0,502;42;0,157;14;28;Faibles en DEA mais mieux classées en PROMETHEE II
CE;Agency_502;UPW_052;0,565;27;-0,062;31;4;Faibles sur les deux approches
CE;Agency_725;UPW_039;0,553;29;-0,286;46;17;Faibles sur les deux approches
CE;Agency_934;UPW_054;0,551;30;-0,095;33;3;Faibles sur les deux approches
CE;Agency_035;UPW_002;0,55;31;-0,168;37;6;Faibles sur les deux approches
CE;Agency_906;UPW_048;0,539;32;-0,116;34;2;Faibles sur les deux approches
CE;Agency_119;UPW_007;0,537;33;-0,171;38;5;Faibles sur les deux approches
CE;Agency_461;UPW_023;0,533;34;-0,018;28;6;Faibles sur les deux approches
CE;Agency_167;UPW_009;0,532;35;-0,171;39;4;Faibles sur les deux approches
CE;Agency_412;UPW_043;0,527;37;-0,069;32;5;Faibles sur les deux approches
CE;Agency_356;UPW_018;0,525;38;-0,229;42;4;Faibles sur les deux approches
CE;Agency_851;UPW_032;0,523;39;-0,149;35;4;Faibles sur les deux approches
CE;Agency_405;UPW_004;0,508;41;-0,266;43;2;Faibles sur les deux approches
CE;Agency_237;UPW_012;0,486;43;-0,284;44;1;Faibles sur les deux approches
CE;Agency_455;UPW_022;0,45;44;-0,197;40;4;Faibles sur les deux approches
CE;Agency_182;UPW_006;0,45;45;-0,286;47;2;Faibles sur les deux approches
CE;Agency_639;UPW_032;0,432;46;-0,456;50;4;Faibles sur les deux approches
